input_set_id,prior_spl_id,latest_spl_id,prior_is_plr_from_01,latest_is_plr_from_01,both_are_plr_from_01,prior_is_plr_from_xml,latest_is_plr_from_xml,keep_pair_both_plr,prior_contraindications_sections,prior_warnings_sections,prior_adverse_reactions_sections,prior_drug_interactions_sections,latest_contraindications_sections,latest_warnings_sections,latest_adverse_reactions_sections,latest_drug_interactions_sections
a0f728b6-2cc6-cb65-e053-2a95a90ab142,da1eee2b-ebe6-4af3-ad52-2b349a360a9a,4c53221b-7a21-9531-e063-6294a90a9ac4,True,True,True,True,True,True,2,4,3,4,2,3,3,3
8e095987-bdea-42f2-9550-c7155cf07d30,df73d27f-b566-7612-e053-2995a90a167d,2b861570-6b18-4b2b-89aa-29ebde7770f5,True,True,True,True,True,True,1,1,5,2,1,2,5,2
b07f9eab-44ac-4667-bd46-52d736daa5d6,ebc84746-7766-38a8-e053-2995a90ae36a,4c222d2c-813c-5520-e063-6294a90affe6,True,True,True,True,True,True,2,1,4,1,2,1,3,1
cc88fbdc-546e-332f-e053-2995a90a8ca7,dd7f7b98-c284-ba34-e053-2995a90a523e,4c22179c-cc92-d714-e063-6394a90a2d40,True,True,True,True,True,True,1,1,3,1,1,1,3,1
53de10a5-dbd0-413d-90e5-00a1920ec391,d44c110b-890e-67a2-e053-2a95a90a6a03,4c21fe89-421c-249a-e063-6294a90aad2c,True,True,True,True,True,True,1,1,3,1,1,1,3,1
215ef2cb-d5b6-43d5-bbd5-195ec57cde2b,5a93579c-5d45-4662-b39c-8d93b04f52dc,4c219dee-9f8c-6c56-e063-6294a90accf8,True,True,True,True,True,True,1,4,3,1,1,1,3,3
2c8970ad-2266-4653-b7eb-4c79ba926d89,9853c9a4-1176-4ff0-b03e-19f2924fd093,15a88e56-20f2-49f8-96b5-56567af7922c,True,True,True,True,True,True,2,2,4,1,2,2,4,1
40a75dc7-49b7-5c9d-6c5f-d4682ec6922e,e07af86f-aea6-5a91-e053-2a95a90a3795,fe36a9a7-13d0-f4f1-1e31-b35cf651b79d,True,True,True,True,True,True,1,3,4,1,1,2,5,1
096e9438-2bed-434b-aa56-a6d55471fef1,9853c9a4-1176-4ff0-b03e-19f2924fd093,f1486ef8-90b8-4f9f-ba25-0a4db8475fb5,True,True,True,True,True,True,2,2,4,1,2,2,4,1
d1b9e56b-1632-4450-b1ca-d8bcbba3fd7c,e38c40c7-f0c6-7143-e053-2a95a90a8519,b8804a81-4e73-4c0e-b8bf-874e63e35eb2,True,True,True,True,True,True,1,1,3,3,1,1,3,4
603d2d06-c5e8-4378-a422-8dca1a410af7,e07af86f-aea6-5a91-e053-2a95a90a3795,8ebe8fd4-472a-4fb0-3a62-4bb87eb0381d,True,True,True,True,True,True,1,3,4,1,1,2,5,1
4c0cf466-f9e8-390e-e063-6294a90a2ed8,e07af86f-aea6-5a91-e053-2a95a90a3795,4c0ce94a-ac88-c431-e063-6394a90ae9b2,True,True,True,True,True,True,1,3,4,1,1,2,5,1
242759ef-cb6d-4e3e-9f8d-5e31efa1f289,9c940e14-e190-1bba-e053-2a95a90a5599,4b8493ea-0ce4-6949-e063-6294a90a8861,True,True,True,True,True,True,1,2,1,1,1,2,3,1
b90f2e5b-10b8-29a7-0360-31bd0dae0ec2,5495c43b-77b2-4ac7-b138-7cac84cca3ba,03750616-5c88-729a-215e-3d796f8ba6a8,True,True,True,True,True,True,1,1,3,1,1,1,3,1
e9ac2bd3-dbff-4b1a-952f-da3909c6e4ee,ad82611b-9883-4583-95bd-17a021346db5,9e02e2b0-cac8-4917-ad26-6d70e86f1b30,True,True,True,True,True,True,1,1,5,1,1,1,5,1
528a6f12-9878-4005-8fc2-5997adbb287f,b3ea8ff0-0539-46fc-9ab6-aa6e8cb72549,4bdedcb2-33b7-6919-e063-6394a90a9563,True,True,True,True,True,True,1,2,3,1,1,2,3,1
fee8c2be-ccfa-4c66-abed-5e232ec762ae,da1eee2b-ebe6-4af3-ad52-2b349a360a9a,fee8c2be-ccfa-4c66-abed-5e232ec762ae,True,True,True,True,True,True,2,4,3,4,1,1,3,3
64ccb4b5-b77e-4b23-8c74-4685287edb4b,5ae18dbc-c969-4751-9700-764eb2c58603,c9527ee1-8502-4ce1-b02a-e73e80c893f8,True,True,True,True,True,True,1,2,2,2,1,1,3,4
4a2cf456-58c5-c26d-e063-6294a90a0b24,d6cf6571-ae8c-4084-8ae9-8ee613b68f7a,4bd048df-b403-70b2-e063-6394a90a7a38,True,True,True,True,True,True,1,1,4,1,1,1,4,1
